,identifier,TP,FP,FN,POD,FAR,precision,f1
0,Ansongo,0,4,0,,1.0,0.0,
1,Bafing Makana,0,5,5,0.0,1.0,0.0,
2,Bamako,1,4,1,0.5,0.8,0.2,0.286
3,Banankoro,1,4,2,0.333,0.8,0.2,0.25
4,Bougouni,3,6,2,0.6,0.667,0.333,0.429
5,Dire,0,3,0,,1.0,0.0,
6,Douna,1,4,2,0.333,0.8,0.2,0.25
7,Gao,0,5,0,,1.0,0.0,
8,Guelelinkoro,0,4,0,,1.0,0.0,
9,Kayes,1,4,3,0.25,0.8,0.2,0.222
10,Koulikoro,1,4,1,0.5,0.8,0.2,0.286
11,Mopti,1,4,1,0.5,0.8,0.2,0.286
12,Pankourou,1,4,3,0.25,0.8,0.2,0.222
13,Sofara,1,4,2,0.333,0.8,0.2,0.25
14,total,11,59,22,0.333,0.843,0.157,0.214
