,identifier,TP,FP,FN,POD,FAR,precision,f1
0,Ansongo,0,3,0,,1.0,0.0,
1,Bafing Makana,0,3,1,0.0,1.0,0.0,
2,Bamako,1,4,1,0.5,0.8,0.2,0.286
3,Banankoro,1,3,2,0.333,0.75,0.25,0.286
4,Bougouni,3,5,3,0.5,0.625,0.375,0.429
5,Dire,0,2,0,,1.0,0.0,
6,Douna,1,5,1,0.5,0.833,0.167,0.25
7,Gao,0,2,0,,1.0,0.0,
8,Guelelinkoro,0,4,0,,1.0,0.0,
9,Kayes,1,2,6,0.143,0.667,0.333,0.2
10,Koulikoro,1,4,2,0.333,0.8,0.2,0.25
11,Mopti,1,2,1,0.5,0.667,0.333,0.4
12,Pankourou,1,4,2,0.333,0.8,0.2,0.25
13,Sofara,1,2,2,0.333,0.667,0.333,0.333
14,total,11,45,21,0.344,0.804,0.196,0.25
