,identifier,TP,FP,FN,POD,FAR,precision,recall,f1
27,ML0101,0,0,1,0.0,0.0,0.0,0.0,0.0
30,ML0103,0,2,3,0.0,1.0,0.0,0.0,0.0
13,ML0105,0,1,1,0.0,1.0,0.0,0.0,0.0
23,ML0107,0,0,2,0.0,0.0,0.0,0.0,0.0
10,ML0202,0,1,6,0.0,1.0,0.0,0.0,0.0
22,ML0203,0,1,1,0.0,1.0,0.0,0.0,0.0
16,ML0204,0,1,2,0.0,1.0,0.0,0.0,0.0
1,ML0205,0,1,1,0.0,1.0,0.0,0.0,0.0
32,ML0206,0,1,5,0.0,1.0,0.0,0.0,0.0
17,ML0207,2,1,4,0.333,0.333,0.667,0.333,0.444
20,ML0301,0,1,2,0.0,1.0,0.0,0.0,0.0
26,ML0302,0,2,2,0.0,1.0,0.0,0.0,0.0
11,ML0304,0,1,1,0.0,1.0,0.0,0.0,0.0
29,ML0305,2,1,7,0.222,0.333,0.667,0.222,0.333
8,ML0401,1,0,0,1.0,0.0,1.0,1.0,1.0
14,ML0402,1,0,4,0.2,0.0,1.0,0.2,0.333
24,ML0404,0,1,1,0.0,1.0,0.0,0.0,0.0
15,ML0405,1,0,2,0.333,0.0,1.0,0.333,0.5
6,ML0406,0,1,13,0.0,1.0,0.0,0.0,0.0
4,ML0503,2,0,0,1.0,0.0,1.0,1.0,1.0
28,ML0504,2,3,1,0.667,0.6,0.4,0.667,0.5
18,ML0505,2,2,1,0.667,0.5,0.5,0.667,0.571
9,ML0506,0,1,6,0.0,1.0,0.0,0.0,0.0
19,ML0601,0,2,2,0.0,1.0,0.0,0.0,0.0
2,ML0602,0,1,1,0.0,1.0,0.0,0.0,0.0
12,ML0603,0,0,2,0.0,0.0,0.0,0.0,0.0
21,ML0604,0,2,3,0.0,1.0,0.0,0.0,0.0
25,ML0605,0,2,4,0.0,1.0,0.0,0.0,0.0
31,ML0701,0,1,1,0.0,1.0,0.0,0.0,0.0
7,ML0702,0,1,3,0.0,1.0,0.0,0.0,0.0
3,ML0703,0,2,5,0.0,1.0,0.0,0.0,0.0
5,ML0901,1,2,9,0.1,0.667,0.333,0.1,0.154
0,total,14,35,96,0.127,0.714,0.286,0.127,0.176
